FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Divock,Origi,FWD,LIV,7400000,0,1,1,1.35135135135135E-07,1.35135135135135E-07,0,20804,0,1,0,0,0,0,0,0.1,37,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,1060,0,0,0,0,9,2,0,0,3,West Ham,Southampton,Chelsea,Stoke,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oriol Romeu,MID,SOU,4400000,2,21,2.1,4.77272727272727E-07,4.77272727272727E-06,0,134420,3,10,0,0,0,0,0,4.8,1528,-1,0,21,1,0.5,0,2,0,0,4,0,0,3.1,69413,0,0,0,0,854,1605,0,0,151,Burnley,Liverpool,Everton,Man City,Bournemouth,1.5,1.1,2.2,1,1.8,1.9,1.6,1.8,1.6,1.4,1,1.8,1.8,1,1.3,1.4,1.6,1.8,1.4,1.6,2.2,1.5,1.1,1.1,1.5,1.7,2.1,1,40.9
David,Ospina,GLK,ARS,4900000,0,0,0,0,0,0,6221,0,0,0,0,0,0,0,0,89,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,1046,0,0,0,0,0,6,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas,Otamendi,DEF,MCI,5900000,0,55,5.5,9.32203389830508E-07,9.32203389830509E-06,0,271298,4,6,0,0,0,2,0,9.3,11963,4,0,55,-4,0.9,0,5.3,5,0,6,0,0,20.8,988730,0,0,0,2,880,10969,0,0,245,Arsenal,Leicester,Huddersfield,Southampton,West Ham,8.1,5.2,6.8,6.6,8.1,4.8,6.5,6.6,7.3,6.4,6.8,6.5,5.5,7.6,7.9,7.3,6.5,5.1,6.2,6.7,7.8,5.5,6.7,7,5.8,6.6,8,7.4,40.8
Mesut,Ozil,MID,ARS,9300000,6,29,3.6,3.87096774193548E-07,3.11827956989247E-06,0,106322,1,12,0,0,0,1,0,3.1,1637,-2,0,29,2,0.5,0,5,4,0,1,0,2,2.1,71087,0,0,0,1,567,1896,0,0,151,Man City,Tottenham,Burnley,Huddersfield,Man Utd,1.8,3.6,2.5,4.8,4.1,2.3,2.1,5,4.8,2.2,1.8,3.7,2.5,5,3,5.4,1.9,2.9,1.8,3.2,2,4.3,3.9,2.1,5.1,1.8,4.5,2,73
Alex,Palmer,GLK,WBA,4000000,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4129,0,0,0,0,0,363,0,0,0,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasey,Palmer,MID,HUD,5300000,0,3,0.1,1.88679245283019E-08,5.66037735849057E-07,0,4020,2,0,0,0,0,0,0,0.6,8,-2,0,3,2,0,0,0,0,0,1,0,0,0,767,0,0,0,0,123,2,0,0,3,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
Costel,Pantilimon,GLK,WAT,4500000,0,0,0,0,0,0,4135,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.1,238,0,0,0,0,0,0,0,0,0,Everton,West Ham,Newcastle,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Payne,MID,HUD,4500000,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pedro,MID,CHE,7900000,3,35,1.16666666666667,1.47679324894515E-07,4.43037974683544E-06,0,175845,0,4,0,0,0,2,0,4.4,3492,-1,0,35,1,0.5,0,4.3,2,0,3,0,2,2.5,148252,0,0,0,1,474,3086,0,0,104,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.9,0.6,0.6,39.8
Matthew,Pennington,DEF,EVE,4000000,0,0,0,0,0,0,3661,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1050,0,0,0,0,0,6,0,0,0,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas,Pereira,MID,MUN,4900000,0,0,0,0,0,0,3669,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,3,0,0,0,Chelsea,Newcastle,Brighton,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto,Pereyra,MID,WAT,5800000,0,13,0.433333333333333,7.47126436781609E-08,2.24137931034483E-06,0,9467,0,5,0,0,0,1,0,2.2,96,-2,0,13,2,0.4,0,2.5,0,0,0,0,0,0.1,2158,0,0,0,0,262,16,0,0,42,Everton,West Ham,Newcastle,Man Utd,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,14.1
Ayoze,Perez,FWD,NEW,5400000,0,26,2.9,5.37037037037037E-07,4.81481481481482E-06,0,75629,1,7,0,0,0,1,0,4.8,846,-1,0,26,1,0.5,0,2.8,2,0,3,0,1,1.2,66776,0,0,0,0,741,645,0,0,66,Bournemouth,Man Utd,Watford,West Brom,Chelsea,3.6,1.4,2.7,2.2,2.1,3.3,4,1.4,1.9,2.5,3.4,2.7,2.5,1.9,3,2.9,2.9,2.6,1.7,2.5,1.9,3.3,1.9,3.5,2.8,3.5,3.1,2.2,42.9
Lucas,Perez,FWD,ARS,7400000,0,0,0,0,0,0,8289,0,0,0,0,0,0,0,0,22,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,426,0,0,0,0,0,2,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Phillips,MID,WBA,5700000,6,29,3.2,5.6140350877193E-07,5.08771929824561E-06,0,144694,0,5,0,0,0,1,0,5.1,494,-3,0,29,3,0.5,0,2.8,0,0,4,0,2,0.9,65872,0,0,0,0,507,288,0,0,87,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,2.3,2.7,2.2,3.9,4,3.3,1.6,3.1,2.3,4.5,4.2,2.4,3.2,3.3,1.6,2.9,2.7,3.8,2.8,3.8,2.8,3.5,3.6,1.6,3.7,2.4,2.7,2.5,34.2
Jordan,Pickford,GLK,EVE,4900000,1,26,2.6,5.30612244897959E-07,5.30612244897959E-06,0,226443,0,20,0,33,0,0,0,5.3,3243,-1,0,26,1,0.4,0,2,1,0,1,0,0,6.9,75031,0,0,0,0,900,265,0,0,178,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,2.5,3,2.3,3.2,3.1,1.5,1.8,2,2.2,2.1,2,2.4,2.1,3.2,2.3,1.3,3.9,3,2.3,3.1,1.9,1.9,3.1,1.9,2.9,2,2.4,1.9,25.8
Jeremy,Pied,DEF,SOU,4300000,0,0,0,0,0,0,4138,0,0,0,0,0,0,0,0,36,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1279,0,0,0,0,0,3,0,0,0,Burnley,Liverpool,Everton,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
