,Week,Mins,Goals,Assists,Clean_Sheets,Goals_Conceded,Yellow_Cards,Red_Cards,Saves,Bonus,PPI,BPS,Net_Transfers,Value,Points,serialID,ID,Name,Team,Position,Availabilty,Selection,EA_INDEX,Price
602,735,1288,4,5,5,15,2,0,0,7,292,194,35567,368.7,76,603,603,Radamel Falcao Garcia,MUN,FWD,100,1.8,292,10.3
610,735,14,0,0,0,0,0,0,0,0,2,2,74,175,1,611,611,Andreas Pereira,MUN,MD,100,0,2,5
615,726,1028,0,0,2,14,2,0,0,3,144,205,6046,145.5,34,616,616,Patrick McNair,MUN,DEF,100,0.2,144,4.4
616,726,1,0,0,0,0,0,0,0,0,0,3,529,132,1,617,617,Tom Thorpe,MUN,DEF,,0,0,4
624,686,0,0,0,0,0,0,0,0,0,0,0,336,112,0,625,625,Marnick Vermijl,MUN,DEF,,0,0,4
637,650,0,0,0,0,0,0,0,0,0,0,0,95,112.5,0,638,638,Will Keane,MUN,FWD,0,0,0,4.5
653,531,107,0,0,1,1,0,0,7,2,16,33,3847,89.4,11,654,654,V’ctor Vald_s,MUN,GK,100,0.1,16,4.9
287,741,2700,0,1,8,47,1,0,83,5,277,436,-220187,169.5,99,288,288,Tim Krul,NEW,GK,100,12.8,277,4.4
288,741,225,0,0,0,2,0,0,5,0,20,28,-16766,152,5,289,289,Robert Elliot,NEW,GK,100,2.4,20,4
289,741,2419,1,1,5,52,5,2,0,2,222,383,-9963,166.3,58,290,290,Michael Williamson,NEW,DEF,100,0.5,222,4.3
290,741,652,1,0,2,7,2,1,0,0,95,92,-38865,147.5,24,291,291,Steven Taylor,NEW,DEF,100,2.9,95,3.8
291,741,2835,1,0,7,56,3,1,0,9,292,515,-28074,171,80,292,292,Fabricio Coloccini,NEW,DEF,100,3.3,292,4.5
292,741,906,0,1,1,20,3,0,0,3,111,169,1460,167.5,23,293,293,Ryan Taylor,NEW,DEF,100,0.1,111,4.4
293,741,0,0,0,0,0,0,0,0,0,0,0,-3045,165.2,0,294,294,Davide Santon,NEW,DEF,0,0.1,0,4.3
295,741,0,0,0,0,0,0,0,0,0,0,0,-7621,167.4,0,296,296,Mapou Yanga-Mbiwa,NEW,DEF,0,0.1,0,4.4
296,741,1101,0,1,4,19,0,0,0,4,135,220,9883,160.4,44,297,297,Massadio Haidara,NEW,DEF,100,0.4,135,4.1
