Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Cesc Fàbregas,CHE,MID,133,5,7,2896,0,5,0,0,0,16,8
Chamakh,AVL,FWD,9,0,0,257,0,1,0,0,0,0,0
Chancel Mbemba,NEW,DEF,79,0,1,2923,0,5,0,0,0,6,7
Charlie Adam,STK,MID,42,1,1,1043,1,6,0,0,0,2,8
Charlie Austin,SOU,FWD,15,1,0,211,0,0,0,0,0,3,0
Charlie Daniels,BOU,DEF,130,3,5,3285,0,2,0,0,0,20,7
Cheikhou Kouyaté,WHU,MID,110,5,3,3007,1,5,0,0,0,5,11
Chris Brunt,WBA,DEF,53,0,4,1800,0,7,0,0,0,1,6
Chris Smalling,MUN,DEF,135,0,1,3150,0,8,0,0,0,13,17
Christian Benteke,LIV,FWD,104,9,4,1529,0,2,0,0,0,16,7
Christian Eriksen,TOT,MID,178,6,16,2936,0,2,0,0,0,23,11
Christian Fuchs,LEI,DEF,150,0,4,2711,0,4,0,0,0,25,15
Chung-yong Lee,CRY,MID,22,1,0,390,0,0,0,0,0,2,0
Ciaran Clark,AVL,DEF,36,1,0,1442,0,6,0,0,0,2,3
Cissokho,AVL,DEF,28,0,0,1602,1,3,0,0,0,4,3
Cissé,NEW,FWD,46,3,0,1067,0,1,0,0,0,5,3
Clarke-Salter,CHE,DEF,1,0,0,17,0,0,0,0,0,0,0
Claudio Yacob,WBA,MID,69,0,1,2846,0,9,0,0,0,0,10
Clinton N'Jie,TOT,FWD,12,0,1,192,0,0,0,0,0,0,1
Coates,SUN,DEF,24,0,1,1229,0,4,0,0,0,2,2
Coloccini,NEW,DEF,54,1,0,2292,1,1,0,0,0,1,5
Connolly,EVE,DEF,1,0,0,37,0,0,0,0,0,0,0
Connor Randall,LIV,DEF,4,0,0,163,0,0,0,0,0,0,0
Connor Wickham,CRY,FWD,70,5,3,1321,0,1,0,0,0,7,4
Costel Pantilimon,SUN,GK,56,0,0,1530,0,3,71,0,0,5,3
Craig Cathcart,WAT,DEF,96,1,0,3034,0,3,0,0,0,4,10
Craig Dawson,WBA,DEF,124,4,0,3384,0,3,0,0,0,5,10
Craig Gardner,WBA,MID,83,3,3,2039,0,5,0,0,1,5,7
Crespo,AVL,MID,2,0,0,90,0,0,0,0,0,0,0
Cristian Gamboa,WBA,DEF,0,0,0,28,0,1,0,0,0,0,0
Cuco Martina,SOU,DEF,36,1,1,1085,0,1,0,0,0,1,1
Cédric Soares,SOU,DEF,86,0,2,1965,0,3,0,0,0,7,9
César Azpilicueta,CHE,DEF,124,2,5,3199,0,7,0,0,0,15,8
Daley Blind,MUN,DEF,95,1,1,3114,0,2,0,0,0,4,15
Damien Delaney,CRY,DEF,94,2,4,2880,0,2,0,0,0,6,5
Dan Gosling,BOU,MID,86,3,2,2446,0,6,0,0,0,6,5
Daniel Amartey,LEI,MID,7,0,0,104,0,0,0,0,0,0,1
Daniel Drinkwater,LEI,MID,129,3,8,3032,1,3,0,0,0,11,16
Daniel Lafferty,NOR,DEF,1,0,0,14,0,0,0,0,0,0,0
Daniel Sturridge,LIV,FWD,70,8,2,979,0,0,0,0,0,7,1
Danny Ings,LIV,FWD,21,2,0,340,0,1,0,0,0,5,0
Danny Rose,TOT,DEF,109,1,7,2129,0,7,0,0,0,12,8
Danny Simpson,LEI,DEF,120,0,1,2609,1,3,0,0,0,10,15
Danny Welbeck,ARS,FWD,48,4,3,575,0,1,0,0,0,7,3
Darlow,NEW,GK,41,0,0,810,0,0,23,1,0,3,3
Darren Fletcher,WBA,MID,103,1,3,3375,0,3,0,0,0,6,11
Darren Randolph,WHU,GK,18,0,0,540,0,0,12,0,0,2,2
Darron Gibson,EVE,MID,9,0,1,242,0,3,0,0,0,0,0
Daryl Janmaat,NEW,DEF,79,2,4,2751,1,5,0,0,0,6,4
David de Gea,MUN,GK,142,0,0,3060,0,0,82,0,0,8,15
David Ospina,ARS,GK,20,0,0,360,0,0,17,0,0,2,2
David Silva,MCI,MID,96,1,11,1791,0,1,0,0,0,3,11
Davis K,SOU,GK,2,0,0,90,0,0,5,0,0,0,0
de Jong,NEW,MID,24,0,1,454,0,0,0,0,0,0,1
DeAndre Yedlin,SUN,DEF,68,0,3,1811,0,2,0,0,0,2,6
Dejan Lovren,LIV,DEF,70,0,0,1896,0,2,0,0,0,4,8
Demarai Gray,LEI,MID,18,0,2,187,0,0,0,0,0,0,0
Demichelis,MCI,DEF,31,0,0,1021,0,3,0,0,0,0,3
Diafra Sakho,WHU,FWD,71,5,4,1520,0,3,0,0,0,4,4
Diamanti,WAT,MID,3,0,0,67,0,0,0,0,0,0,0
Diego Da Silva Costa,CHE,FWD,129,12,7,2373,0,8,0,0,0,14,6
Dieumerci Mbokani,NOR,FWD,82,7,1,1595,0,0,0,0,0,7,3
Dimitri Payet,WHU,MID,171,9,13,2570,0,3,0,0,0,25,7
Dionatan do Nascimento Teixeira,STK,DEF,1,0,0,45,0,0,0,0,0,0,0
Divock Origi,LIV,FWD,48,5,1,670,0,0,0,0,0,5,2
Dodoo,LEI,FWD,1,0,0,20,0,0,0,0,0,0,0
Donald Love,MUN,DEF,1,0,0,54,0,0,0,0,0,0,0
Dorrans,NOR,MID,36,0,1,1287,0,2,0,0,0,0,1
Doumbia,NEW,FWD,3,0,0,32,0,0,0,0,0,0,0
Dowell,EVE,MID,4,0,0,72,0,0,0,0,0,0,1
Duncan Watmore,SUN,MID,45,3,1,919,0,0,0,0,0,0,1
Dusan Tadic,SOU,MID,157,8,13,2280,0,2,0,0,0,13,8
Dwight Gayle,AVL,FWD,37,3,1,771,1,1,0,0,0,4,4
Eden Hazard,CHE,MID,104,5,4,2193,0,2,0,0,0,11,5
Eder,SWA,FWD,15,0,0,276,0,0,0,0,0,0,0
Eliaquim Mangala,MCI,DEF,68,0,1,2009,0,8,0,0,0,1,9
Elphick,AVL,DEF,21,1,0,1013,0,1,0,0,0,0,0
Emenike,WHU,FWD,16,0,0,512,0,0,0,0,0,0,1
Emre Can,LIV,MID,65,1,1,2491,0,9,0,0,0,2,7
Enner Valencia,WHU,FWD,56,4,2,1009,0,1,0,0,0,6,2
Eric Dier,TOT,MID,130,3,2,3263,0,10,0,0,0,3,12
Erik Lamela,TOT,MID,123,5,9,2371,0,9,0,0,0,8,11
Erik Pieters,STK,DEF,93,0,1,3096,0,10,0,0,0,7,10
Etienne Capoue,WAT,MID,72,0,1,2814,0,7,0,0,0,2,10
Eunan O'Kane,BOU,MID,23,0,1,756,0,2,0,0,0,0,0
Fabian Delph,MCI,MID,37,2,0,753,0,0,0,0,0,4,1
Fabio Borini,SUN,FWD,77,5,3,1890,0,6,0,0,0,8,5
Falcao,AVL,FWD,15,1,0,237,0,1,0,0,0,1,0
Federico Fernández,SWA,DEF,98,1,1,2880,0,3,0,0,0,12,8
Fernando Francisco Reges,MCI,MID,60,2,0,1715,0,4,0,0,0,4,8
Fernando Luiz Rosa,MCI,MID,90,2,3,2729,0,8,0,0,0,5,13
Fraizer Campbell,CRY,FWD,12,0,0,362,0,1,0,0,0,0,1
Francis Coquelin,ARS,MID,46,0,0,1643,1,5,0,0,0,2,9
Fraser Forster,SOU,GK,68,0,0,1620,0,0,52,0,0,3,6
Gabriel Armando de Abreu,ARS,DEF,83,1,0,1764,1,3,0,0,0,9,10
Gareth Barry,EVE,MID,76,0,2,2837,1,5,0,0,0,4,10
Gareth McAuley,WBA,DEF,97,1,0,3060,1,4,0,0,0,5,10
Gary Cahill,CHE,DEF,53,2,1,1957,0,2,0,0,0,0,2
Gastón Ramírez,SOU,MID,6,0,1,31,0,0,0,0,0,0,0
