Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Matt Miazga,CHE,DEF,6,0,0,135,0,1,0,0,0,0,1
Matt Ritchie,AVL,MID,119,4,8,2975,0,5,0,0,0,5,6
Matt Targett,SOU,DEF,61,0,2,1067,0,1,0,0,0,6,7
Matteo Darmian,MUN,DEF,108,1,1,1924,0,8,0,0,0,12,13
Matthew Pennington,EVE,DEF,4,0,0,298,0,1,0,0,0,0,0
Mauro Zárate,WHU,FWD,41,3,0,788,0,1,0,0,0,8,3
Max Gradel,BOU,MID,48,1,5,891,0,1,0,0,0,1,4
Maya Yoshida,SOU,DEF,52,1,0,1020,0,0,0,0,0,6,4
Mbabu,NEW,DEF,2,0,0,143,0,0,0,0,0,0,0
Memphis Depay,MUN,MID,62,2,1,1484,0,2,0,0,0,2,7
Mesut Özil,ARS,MID,200,6,19,3036,0,4,0,0,0,30,17
Michael Carrick,MUN,MID,48,0,0,1972,0,4,0,0,0,0,6
Michail Antonio,WHU,MID,126,8,7,2057,0,3,0,0,0,12,7
Michel Vorm,TOT,GK,2,0,0,90,0,0,1,0,0,0,0
Miguel Britos,WAT,DEF,57,0,0,2073,0,7,0,0,0,1,7
Mikel Arteta,ARS,MID,10,0,1,169,0,1,0,0,0,0,0
Mile Jedinak,CRY,MID,39,0,0,1540,0,6,0,0,0,0,3
Modou Barrow,SWA,FWD,43,1,3,791,0,0,0,0,0,3,2
Mohamed Elneny,ARS,MID,25,0,1,792,0,3,0,0,0,0,5
Morgan Schneiderlin,MUN,MID,69,1,0,2205,0,3,0,0,0,1,14
Mousa Dembélé,TOT,MID,89,3,1,2265,0,3,0,0,0,8,12
Moussa Sissoko,NEW,MID,110,1,8,3218,0,3,0,0,0,4,7
Muhamed Besic,EVE,MID,15,0,0,558,0,1,0,0,0,0,1
Mulumbu,NOR,MID,11,0,0,368,0,1,0,0,0,1,0
Murray,AVL,FWD,36,3,0,802,0,2,0,0,1,0,2
N'Doye,SUN,FWD,19,1,0,572,0,2,0,0,0,1,0
N'Golo Kanté,LEI,MID,108,1,4,3022,0,3,0,0,0,9,15
N'Zogbia,AVL,MID,2,0,0,43,0,0,0,0,0,0,0
Nabil Bentaleb,TOT,MID,6,0,0,170,0,1,0,0,0,0,1
Nacer Chadli,TOT,MID,65,3,2,947,0,1,0,0,0,3,4
Nacho Monreal,ARS,DEF,152,0,3,3249,0,1,0,0,0,14,17
Nathan Aké,WAT,DEF,73,1,1,1874,1,4,0,0,0,7,7
Nathan Dyer,LEI,MID,20,1,1,239,0,1,0,0,0,0,0
Nathan Redmond,NOR,MID,110,6,4,2341,0,0,0,0,0,8,3
Nathaniel Clyne,LIV,DEF,93,1,0,2970,0,6,0,0,0,2,10
Neil Taylor,SWA,DEF,89,0,2,2947,0,4,0,0,0,4,8
Nemanja Matic,CHE,MID,83,2,3,2414,1,4,0,0,0,5,7
Nicolás Otamendi,MCI,DEF,104,1,0,2671,0,9,0,0,0,15,11
Nikica Jelavic,WHU,FWD,25,1,2,350,0,1,0,0,0,1,1
Nolan,WHU,MID,2,0,0,57,0,0,0,0,0,0,0
Nordin Amrabat,WAT,MID,12,0,0,506,1,2,0,0,0,0,1
O'Neil,NOR,MID,39,0,0,1755,1,7,0,0,0,0,4
Obertan,NEW,MID,11,0,1,279,0,1,0,0,0,0,1
Odemwingie,STK,FWD,5,0,0,106,0,0,0,0,0,0,0
Odion Ighalo,WAT,FWD,175,16,6,3147,0,4,0,0,0,25,
Odjidja-Ofoe,NOR,MID,16,0,2,279,0,2,0,0,0,0,0
Olivier Giroud,ARS,FWD,156,16,6,2430,0,2,0,0,0,15,12
Oluwaseyi Ojo,LIV,MID,27,0,4,397,0,0,0,0,0,2,1
Oriol Romeu Vidal,SOU,MID,45,1,0,1612,0,7,0,0,0,0,5
Oscar dos Santos Emboaba Junior,CHE,MID,74,3,4,1770,0,4,0,0,1,3,6
Osman,AVL,MID,12,0,0,223,0,0,0,0,0,0,1
Oumar Niasse,EVE,FWD,6,0,0,143,0,0,0,0,0,0,0
Pablo Zabaleta,MCI,DEF,41,0,1,1062,0,3,0,0,0,5,4
Paloschi,SWA,FWD,23,2,0,665,0,2,0,0,0,1,1
Pape Souaré,CRY,DEF,78,0,1,3015,1,6,0,0,0,4,7
Pato,CHE,FWD,12,1,1,131,0,0,0,0,0,1,1
Patrick Bamford,NOR,FWD,15,0,0,362,0,0,0,0,0,0,2
Patrick McNair,MUN,DEF,9,0,0,315,0,0,0,0,0,0,0
Patrick Roberts,MCI,MID,1,0,0,5,0,0,0,0,0,0,0
Patrick van Aanholt,SUN,DEF,127,6,4,2970,0,2,0,0,0,11,6
Paul Dummett,NEW,DEF,69,1,0,1892,0,3,0,0,0,6,6
Paulo Gazzaniga,SOU,GK,5,0,0,180,0,0,8,0,0,0,0
Pedro Chirivella,LIV,MID,1,0,0,45,0,0,0,0,0,0,0
Pedro Obiang,WHU,MID,36,0,1,1088,0,2,0,0,0,0,2
Pedro Rodríguez Ledesma,CHE,MID,113,7,3,2035,0,3,0,0,0,14,7
Pellè,SOU,FWD,134,11,9,2175,0,6,0,0,0,16,8
Per Mertesacker,ARS,DEF,71,0,0,2047,1,1,0,0,0,1,9
Peter Crouch,STK,FWD,18,0,1,463,0,0,0,0,0,0,0
Petr Cech,ARS,GK,159,0,0,3060,0,0,101,0,0,15,16
Phil Bardsley,STK,DEF,20,0,2,817,0,1,0,0,0,2,0
Phil Jagielka,EVE,DEF,65,0,0,1850,0,0,0,0,0,4,7
Phil Jones,MUN,DEF,31,0,0,530,0,0,0,0,0,6,3
Philipp Wollscheid,STK,DEF,92,0,0,2684,0,2,0,0,0,10,10
Philippe Coutinho,LIV,MID,129,8,6,1996,1,2,0,0,0,18,10
Pinto,NOR,DEF,13,0,0,811,0,0,0,0,0,0,0
Powell,MUN,MID,1,0,0,17,0,0,0,0,0,0,0
Raheem Sterling,MCI,MID,96,6,3,1920,0,1,0,0,0,3,7
Ramires,AVL,MID,29,2,0,609,0,1,0,0,0,1,1
Ramiro Funes Mori,EVE,DEF,92,4,1,2193,1,4,0,0,0,9,6
Reece Oxford,WHU,DEF,11,0,0,212,0,0,0,0,0,0,1
Richards,AVL,DEF,49,1,1,2045,0,3,0,0,0,3,4
Richardson,AVL,DEF,11,0,1,723,0,4,0,0,0,1,0
Rickie Lambert,WBA,FWD,31,1,2,625,0,2,0,0,0,0,1
Ritchie de Laet,LEI,DEF,22,1,0,658,0,1,0,0,0,3,0
Rivière,NEW,FWD,3,0,0,65,0,0,0,0,0,0,0
Riyad Mahrez,LEI,MID,240,17,11,3036,0,1,0,0,2,38,18
Rob Elliot,NEW,DEF,66,0,0,1890,0,1,59,0,0,6,4
Robbie Brady,NOR,MID,111,3,4,2984,0,3,0,0,0,13,5
Robert Huth,LEI,DEF,140,3,0,3150,0,8,0,0,0,10,15
Robert Kenedy Nunes do Nascimento,CHE,MID,23,1,0,556,0,0,0,0,0,3,1
Roberto Firmino,LIV,MID,155,10,8,1973,0,1,0,0,0,18,9
Romelu Lukaku,EVE,FWD,185,18,7,3170,0,3,0,0,1,25,9
Ross Barkley,EVE,MID,158,8,9,3076,0,4,0,0,0,14,9
Rossiter,LIV,MID,1,0,0,15,0,0,0,0,0,0,0
Ruben Loftus-Cheek,CHE,MID,25,1,1,412,0,0,0,0,0,0,
Rudd,NOR,GK,29,0,0,990,0,2,34,0,0,2,2
Ruddy,NOR,GK,69,0,0,2430,0,0,69,0,0,1,3
Rudy Gestede,AVL,FWD,78,5,3,1669,0,2,0,0,0,6,0
Ryan Allsop,BOU,GK,1,0,0,45,0,0,0,0,0,0,0
Ryan Bennett,NOR,DEF,43,0,1,1837,0,7,0,0,0,2,4
Ryan Bertrand,SOU,DEF,106,1,4,2880,0,6,0,0,0,3,9
Ryan Mason,TOT,MID,35,1,0,805,0,3,0,0,0,2,3
Ryan Shawcross,STK,DEF,50,0,0,1695,1,2,0,0,0,1,7
Sadio Mané,SOU,MID,160,11,9,2599,2,4,0,0,1,16,9
Saido Berahino,WBA,FWD,68,4,0,1747,0,0,0,0,2,9,7
Saivet,NEW,MID,4,0,0,147,0,0,0,0,0,0,0
Salomón Rondón,WBA,FWD,115,9,3,2558,1,1,0,0,0,11,9
Sam Byram,WHU,DEF,7,0,0,288,0,3,0,0,0,0,1
Sam Field,WBA,MID,1,0,0,5,0,0,0,0,0,0,0
Samir Nasri,MCI,MID,36,2,3,542,0,3,0,0,0,2,2
Sandro,WBA,MID,16,0,0,382,0,0,0,0,0,0,1
Santiago Cazorla,ARS,MID,44,0,3,1290,1,2,0,0,1,6,7
Scott Dann,CRY,DEF,130,5,2,3150,0,7,0,0,0,11,8
Seamus Coleman,EVE,DEF,94,1,3,2383,0,4,0,0,0,8,8
Sebastian Larsson,SUN,MID,22,0,1,554,0,2,0,0,0,0,0
Sebastian Prödl,WAT,DEF,59,2,0,1778,0,5,0,0,0,1,5
Serge Gnabry,WBA,MID,1,0,0,13,0,0,0,0,0,0,0
Sergi Canos,LIV,MID,1,0,0,10,0,0,0,0,0,0,0
Sergio Agüero,MCI,FWD,184,24,3,2361,0,1,0,0,1,24,12
Sergio Romero,MUN,GK,21,0,0,360,0,0,7,0,0,1,3
Sessegnon,WBA,MID,70,2,2,1753,0,1,0,0,0,4,7
Shane Long,SOU,FWD,109,10,4,2111,0,2,0,0,0,8,9
Shaun MacDonald,BOU,MID,3,0,0,31,0,0,0,0,0,0,0
Shay Given,STK,GK,2,0,0,225,0,1,7,0,0,0,0
Shinji Okazaki,LEI,FWD,88,5,2,2054,0,1,0,0,0,6,12
Sidwell,STK,MID,1,0,0,13,0,0,0,0,0,0,0
Simon Francis,BOU,DEF,89,0,4,3386,1,5,0,0,0,9,6
Simon Mignolet,LIV,GK,115,0,0,3060,0,2,70,1,0,1,11
Skrtel,LIV,DEF,63,1,0,1885,0,5,0,0,0,7,6
Song,WHU,MID,23,0,0,658,0,1,0,0,0,1,4
Stephen Ireland,STK,MID,14,0,1,243,0,2,0,0,0,0,0
Stephen Kingsley,SWA,DEF,13,0,1,355,0,0,0,0,0,0,1
Sterry,NEW,DEF,1,0,0,7,0,0,0,0,0,0,0
Steve Cook,BOU,DEF,114,4,2,3195,0,5,0,0,0,12,7
Steven Berghuis,WAT,MID,13,0,2,231,0,2,0,0,0,0,0
Steven Davis,SOU,MID,112,5,3,2602,0,4,0,0,0,9,10
Steven Naismith,NOR,FWD,65,4,3,1325,0,3,0,0,0,5,3
Steven Pienaar,EVE,MID,5,0,0,122,0,0,0,0,0,0,0
Steven Taylor,NEW,DEF,20,0,0,810,0,1,0,0,0,2,2
Sullay Kaikai,CRY,MID,1,0,0,45,0,0,0,0,0,0,0
Sung-yueng Ki,SWA,MID,61,2,1,1851,0,4,0,0,0,4,3
Sylvain Distin,AVL,DEF,17,0,0,843,0,0,0,0,0,0,1
Sébastien Pocognoli,WBA,DEF,4,0,1,36,0,0,0,0,0,0,0
Tammy Abraham,CHE,FWD,2,0,0,55,0,0,0,0,0,0,0
Tettey,NOR,MID,53,2,0,1949,0,10,0,0,0,6,
Thauvin,NEW,MID,15,0,0,427,0,1,0,0,0,0,0
Theo Walcott,ARS,MID,85,5,3,1373,0,0,0,0,0,0,8
Thibaut Courtois,CHE,GK,69,0,0,2018,2,1,67,1,0,1,5
Thomas Robson,SUN,DEF,1,0,0,90,0,0,0,0,0,0,0
Tim Howard,AVL,GK,91,0,0,2250,0,1,81,0,0,5,7
Tim Krul,NEW,GK,23,0,0,720,0,0,34,0,0,3,1
Timothy Fosu-Mensah,MUN,DEF,22,0,1,257,0,1,0,0,0,2,2
Tioté,NEW,MID,34,0,0,1220,0,5,0,0,0,0,6
Toby Alderweireld,TOT,DEF,166,4,3,3420,0,3,0,0,0,16,13
Toivonen,SUN,FWD,24,0,2,660,0,1,0,0,0,0,1
Tokelo Rantie,BOU,FWD,3,0,0,41,0,0,0,0,0,0,0
Tom Carroll,TOT,MID,27,1,0,515,0,3,0,0,0,0,2
Tom Cleverley,EVE,MID,77,2,5,1613,0,1,0,0,0,11,4
Tom Davies,EVE,MID,4,0,0,98,0,0,0,0,0,0,1
Tomlin,BOU,FWD,8,0,0,290,0,1,0,0,0,0,1
Tomori,CHE,DEF,1,0,0,31,0,0,0,0,0,0,0
Toner,AVL,DEF,10,0,1,315,0,0,0,0,0,0,1
Toney,NEW,FWD,2,0,0,12,0,0,0,0,0,0,0
Touré,LIV,DEF,38,1,0,858,0,1,0,0,0,2,3
Troy Deeney,WAT,FWD,166,13,9,3293,0,6,0,0,1,23,11
Tyias Browning,EVE,DEF,9,0,0,298,0,1,0,0,0,0,1
Tyler Roberts,WBA,MID,0,0,0,18,0,1,0,0,0,0,0
Tyrone Mings,BOU,DEF,1,0,0,11,0,0,0,0,0,0,0
Valon Behrami,WAT,MID,37,0,1,1278,1,3,0,0,0,2,5
Veretout,AVL,MID,69,0,6,1820,0,4,0,0,0,5,4
Victor Anichebe,WBA,FWD,13,0,0,369,0,0,0,0,0,0,1
Victor Moses,WHU,MID,46,1,4,979,0,0,0,0,0,0,1
Victor Wanyama,SOU,MID,59,1,1,2495,3,4,0,0,0,0,7
Vincent Kompany,MCI,DEF,76,2,0,1179,0,5,0,0,0,8,9
Virgil van Dijk,SOU,DEF,130,3,0,3060,0,2,0,0,0,16,10
Vito Mannone,SUN,GK,69,0,0,1710,0,2,74,0,0,5,4
Wahbi Khazri,SUN,MID,47,2,2,1071,0,3,0,0,0,4,5
Ward,LIV,GK,6,0,0,180,0,0,9,0,0,0,0
Wayne Hennessey,CRY,GK,98,0,0,2610,0,1,78,0,0,5,8
Wayne Rooney,MUN,FWD,118,8,7,2406,0,4,0,0,0,14,14
Wayne Routledge,SWA,MID,59,2,1,1673,0,3,0,0,0,1,4
Wes Morgan,LEI,DEF,139,2,0,3420,0,3,0,0,0,5,15
Whittaker,NOR,DEF,10,1,0,660,1,1,0,0,0,0,0
Wilfried Bony,MCI,FWD,63,4,4,1226,0,1,0,0,1,3,5
Wilfried Zaha,CRY,MID,85,2,5,2488,0,5,0,0,0,0,6
Will Keane,MUN,FWD,1,0,0,5,0,0,0,0,0,0,0
Willian Borges Da Silva,CHE,MID,135,5,10,2740,0,5,0,0,0,12,8
Willy Caballero,MCI,GK,12,0,0,311,0,0,15,0,0,0,1
Winston Reid,WHU,DEF,68,1,2,2135,0,5,0,0,0,7,6
Wisdom,NOR,DEF,19,0,0,824,0,1,0,0,0,2,1
Xherdan Shaqiri,STK,MID,97,3,6,2013,0,3,0,0,0,8,9
Yannick Bolasie,CRY,MID,96,5,3,2075,0,2,0,0,0,9,7
Yohan Benalouane,LEI,DEF,3,0,0,68,0,1,0,0,0,0,0
Yohan Cabaye,CRY,MID,105,5,1,2689,0,7,0,0,1,13,9
Younes Kaboul,SUN,DEF,72,0,2,2008,1,3,0,0,0,5,
