Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Koscielny,67,0,0,0,3,0,0,0,0,1,0,0,0,-3,-2,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,3,0,,7.8%
Cazorla,45,0,0,0,2,0,0,0,1,0,0,0,7,-1,0,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,18,0,,11.0%
Walters,90,0,0,0,1,0,0,1,0,0,0,0,15,-3,0,STK,0 - 1,LIV,Away,1,MID,23,Very difficult,359,0,,3.8%
Martin,90,0,0,0,2,0,0,0,1,0,0,0,11,1,0,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,300,0,,0.5%
Turner,90,0,0,0,2,0,0,0,1,0,0,0,7,1,0,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,305,0,,2.6%
Williams,90,0,0,0,4,0,0,0,0,0,0,0,4,5,0,SWA,1 - 4,MUN,Home,1,DEF,27,Very difficult,397,0,,13.6%
Rangel,90,0,0,0,4,0,0,0,0,0,0,0,12,4,0,SWA,1 - 4,MUN,Home,1,DEF,27,Very difficult,401,0,,2.7%
Chico,90,0,0,0,4,0,0,0,0,0,0,0,4,5,0,SWA,1 - 4,MUN,Home,1,DEF,29,Very difficult,402,0,,1.1%
Davies,90,0,0,0,4,0,0,0,0,0,0,0,23,5,0,SWA,1 - 4,MUN,Home,1,DEF,29,Very difficult,404,0,,1.5%
Connolly,90,0,0,0,2,0,0,0,1,0,0,0,23,1,0,CAR,0 - 2,WHU,Away,1,DEF,16,Difficult,61,1,-1,0.2%
Meyler,59,0,0,0,2,0,0,0,1,0,0,0,1,2,0,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,184,0,,0.3%
Sagna,94,0,0,0,3,0,0,0,0,0,0,0,4,3,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,5,0,,1.1%
Gibbs,29,0,0,0,1,0,0,0,0,0,0,0,1,1,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,6,0,,3.2%
Jenkinson,61,0,0,0,2,0,0,0,0,0,0,0,2,2,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,7,0,,1.6%
Mertesacker,90,0,0,0,3,0,0,0,0,0,0,0,3,6,1,ARS,1 - 3,AVL,Home,1,DEF,8,Favourable,8,0,,24.6%
Wilshere,90,0,0,0,3,0,0,0,1,0,0,0,11,4,1,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,11,0,,12.8%
Podolski,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ARS,1 - 3,AVL,Home,1,FWD,8,Favourable,21,0,,3.8%
Baker,17,0,0,0,1,0,0,0,0,0,0,0,3,1,1,AVL,3 - 1,ARS,Away,1,DEF,28,Very difficult,27,0,,17.4%
Vlaar,90,0,0,0,1,0,0,0,1,0,0,0,15,1,1,AVL,3 - 1,ARS,Away,1,DEF,28,Very difficult,31,0,,2.5%
Westwood,90,0,0,0,1,0,0,0,1,0,0,0,30,1,1,AVL,3 - 1,ARS,Away,1,MID,28,Very difficult,44,1,-1,1.5%
Bacuna,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,AVL,3 - 1,ARS,Away,1,MID,28,Very difficult,46,0,,0.1%
Sterling,18,0,0,0,0,0,0,0,0,0,0,0,4,1,1,LIV,1 - 0,STK,Home,1,MID,4,Very favourable,206,0,,3.6%
Adam,27,0,0,0,0,0,0,0,0,0,0,0,8,1,1,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,354,0,,0.4%
N'Zonzi,90,0,0,0,1,0,0,0,1,0,0,0,4,3,1,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,362,0,,0.6%
Pennant,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,519,0,,0.9%
Jones,9,0,0,0,0,0,0,0,0,0,0,0,7,0,1,STK,0 - 1,LIV,Away,1,FWD,25,Very difficult,364,0,,0.7%
Garrido,90,0,0,0,2,0,0,0,0,0,0,0,7,2,1,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,306,0,,15.7%
Olsson,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NOR,2 - 2,EVE,Home,1,DEF,15,Difficult,308,0,,1.0%
Tettey,17,0,0,0,0,0,0,0,0,0,0,0,2,1,1,NOR,2 - 2,EVE,Home,1,MID,15,Difficult,317,0,,0.5%
Howard,90,0,0,0,2,0,0,0,0,0,0,0,5,3,1,EVE,2 - 2,NOR,Away,1,GKP,13,Average,121,0,,3.7%
Jagielka,90,0,0,0,2,0,0,0,0,0,0,0,8,3,1,EVE,2 - 2,NOR,Away,1,DEF,13,Average,125,0,,17.9%
Baines,90,0,0,0,2,0,0,0,0,0,0,0,22,6,1,EVE,2 - 2,NOR,Away,1,DEF,13,Average,127,0,,24.5%
Distin,90,0,0,0,2,0,0,0,0,0,0,0,13,6,1,EVE,2 - 2,NOR,Away,1,DEF,13,Average,128,0,,5.4%
Anichebe,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,EVE,2 - 2,NOR,Away,1,FWD,13,Average,141,0,,2.0%
Naismith,20,0,0,0,1,0,0,0,0,0,0,0,5,0,1,EVE,2 - 2,NOR,Away,1,FWD,13,Average,143,0,,1.5%
Koné,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,EVE,2 - 2,NOR,Away,1,FWD,13,Average,144,0,,6.7%
Wickham,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,SUN,0 - 1,FUL,Home,1,FWD,6,Favourable,387,0,,0.3%
Ji Dong-Won,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SUN,0 - 1,FUL,Home,1,FWD,6,Favourable,540,0,,0.0%
Stockdale,14,0,0,0,0,0,0,0,0,0,1,0,3,1,1,FUL,1 - 0,SUN,Away,1,GKP,10,Average,146,0,,0.5%
Richardson,20,0,0,0,0,0,0,0,0,0,0,0,7,1,1,FUL,1 - 0,SUN,Away,1,MID,10,Average,162,0,,0.1%
Karagounis,25,0,0,0,0,0,0,0,0,0,0,0,4,1,1,FUL,1 - 0,SUN,Away,1,MID,10,Average,508,0,,0.7%
Berbatov,90,0,0,1,0,0,0,0,1,0,0,0,13,-1,1,FUL,1 - 0,SUN,Away,1,FWD,10,Average,168,0,,9.9%
Vorm,90,0,0,0,4,0,0,0,0,0,3,0,5,3,1,SWA,1 - 4,MUN,Home,1,GKP,29,Very difficult,394,0,,8.6%
Routledge,45,0,0,0,2,0,0,0,0,0,0,0,9,0,1,SWA,1 - 4,MUN,Home,1,MID,29,Very difficult,407,0,,9.3%
Britton,45,0,0,0,2,0,0,0,0,0,0,0,2,3,1,SWA,1 - 4,MUN,Home,1,MID,29,Very difficult,410,0,,3.1%
Ki Sung-Yueng,13,0,0,0,1,0,0,0,0,0,0,0,1,1,1,SWA,1 - 4,MUN,Home,1,MID,29,Very difficult,412,0,,0.3%
José Cañas,77,0,0,0,3,0,0,0,1,0,0,0,5,5,1,SWA,1 - 4,MUN,Home,1,MID,29,Very difficult,505,0,,0.6%
Anderson,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,MUN,4 - 1,SWA,Away,1,MID,11,Average,255,0,,0.2%
Carrick,90,0,0,0,1,0,0,0,1,0,0,0,17,4,1,MUN,4 - 1,SWA,Away,1,MID,11,Average,257,0,,5.3%
Cleverley,90,0,0,0,1,0,0,0,1,0,0,0,15,2,1,MUN,4 - 1,SWA,Away,1,MID,11,Average,259,0,,2.0%
Jones,90,0,0,0,1,0,0,0,1,0,0,0,11,2,1,WBA,0 - 1,SOU,Home,1,DEF,5,Favourable,455,0,,0.2%
McAuley,90,0,0,0,1,0,0,0,1,0,0,0,1,4,1,WBA,0 - 1,SOU,Home,1,DEF,5,Favourable,456,0,,2.1%
Ridgewell,90,0,0,0,1,0,0,0,1,0,0,0,11,1,1,WBA,0 - 1,SOU,Home,1,DEF,5,Favourable,458,0,,0.7%
Mulumbu,90,0,0,0,1,0,0,0,1,0,0,0,4,1,1,WBA,0 - 1,SOU,Home,1,MID,5,Favourable,464,0,,0.7%
Rosenberg,7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,WBA,0 - 1,SOU,Home,1,FWD,5,Favourable,470,0,,0.1%
Vydra,7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,WBA,0 - 1,SOU,Home,1,FWD,5,Favourable,538,0,,0.6%
Cork,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,SOU,1 - 0,WBA,Away,1,MID,14,Difficult,331,0,,1.8%
Steven Davis,12,0,0,0,0,0,0,0,0,0,0,0,2,1,1,SOU,1 - 0,WBA,Away,1,MID,14,Difficult,337,0,,0.2%
Ramírez,20,0,0,0,0,0,0,0,0,0,0,0,3,1,1,SOU,1 - 0,WBA,Away,1,MID,14,Difficult,339,0,,1.6%
Downing,19,0,0,0,0,0,0,0,0,0,0,0,8,1,1,WHU,2 - 0,CAR,Home,1,MID,1,Very favourable,202,0,,3.7%
Alou Diarra,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,WHU,2 - 0,CAR,Home,1,MID,1,Very favourable,491,0,,0.4%
Vaz Te,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,WHU,2 - 0,CAR,Home,1,FWD,1,Very favourable,494,0,,0.6%
Marshall,90,0,0,0,2,0,0,0,0,0,2,0,4,3,1,CAR,0 - 2,WHU,Away,1,GKP,16,Difficult,55,0,,2.5%
Turner,90,0,0,0,2,0,0,0,0,0,0,0,3,3,1,CAR,0 - 2,WHU,Away,1,DEF,16,Difficult,60,0,,2.0%
Caulker,90,0,0,0,2,0,0,0,0,0,0,0,8,4,1,CAR,0 - 2,WHU,Away,1,DEF,16,Difficult,429,0,,3.4%
John,90,0,0,0,2,0,0,0,0,0,0,0,3,2,1,CAR,0 - 2,WHU,Away,1,DEF,16,Difficult,531,0,,0.6%
Mutch,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CAR,0 - 2,WHU,Away,1,MID,16,Difficult,69,0,,0.2%
Gestede,15,0,0,0,1,0,0,0,0,0,0,0,0,1,1,CAR,0 - 2,WHU,Away,1,FWD,16,Difficult,72,0,,0.2%
Maynard,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,CAR,0 - 2,WHU,Away,1,FWD,16,Difficult,74,0,,0.6%
Schürrle,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CHE,2 - 0,HUL,Home,1,MID,1,Very favourable,97,0,,1.7%
van Ginkel,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,CHE,2 - 0,HUL,Home,1,MID,1,Very favourable,98,0,,0.5%
Lukaku,15,0,0,0,0,0,0,0,0,0,0,0,2,1,1,CHE,2 - 0,HUL,Home,1,FWD,1,Very favourable,101,0,,13.5%
Chester,90,0,0,0,2,0,0,0,0,0,0,0,12,3,1,HUL,0 - 2,CHE,Away,1,DEF,28,Very difficult,172,0,,1.6%
Figueroa,90,0,0,0,2,0,0,0,0,0,0,0,14,5,1,HUL,0 - 2,CHE,Away,1,DEF,28,Very difficult,178,0,,2.6%
Davies,90,0,0,0,2,0,0,0,0,0,0,0,16,5,1,HUL,0 - 2,CHE,Away,1,DEF,28,Very difficult,179,0,,0.2%
Boyd,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,186,0,,0.3%
Huddlestone,31,0,0,0,0,0,0,0,0,0,0,0,2,1,1,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,436,0,,1.1%
Livermore,31,0,0,0,0,0,0,0,0,0,0,0,2,1,1,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,437,0,,0.7%
Graham,59,0,0,0,2,0,0,0,0,0,0,0,1,1,1,HUL,0 - 2,CHE,Away,1,FWD,28,Very difficult,388,0,,1.9%
Jedinak,90,0,0,0,1,0,0,0,1,0,0,0,6,4,1,CRY,0 - 1,TOT,Home,1,MID,23,Difficult,114,0,,0.9%
Williams,24,0,0,0,0,0,0,0,0,0,0,0,2,0,1,CRY,0 - 1,TOT,Home,1,MID,23,Difficult,115,0,,0.6%
Chamakh,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,CRY,0 - 1,TOT,Home,1,FWD,23,Difficult,23,0,,2.1%
Phillips,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CRY,0 - 1,TOT,Home,1,FWD,23,Difficult,509,0,,1.7%
Kaboul,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,TOT,1 - 0,CRY,Away,1,DEF,3,Very favourable,426,0,,1.2%
Dembélé,57,0,0,0,0,0,0,0,0,0,0,0,7,4,1,TOT,1 - 0,CRY,Away,1,MID,3,Very favourable,432,0,,6.1%
Capoue,33,0,0,0,0,0,0,0,0,0,0,0,4,2,1,TOT,1 - 0,CRY,Away,1,MID,3,Very favourable,548,0,,0.0%
Defoe,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TOT,1 - 0,CRY,Away,1,FWD,3,Very favourable,448,0,,1.5%
Walcott,90,0,0,0,3,0,0,0,0,0,0,0,3,2,2,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,12,0,,14.9%
Ramsey,90,0,0,0,3,0,0,0,0,0,0,0,18,4,2,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,13,0,,2.8%
Rosicky,90,0,0,0,3,0,0,0,0,0,0,0,18,2,2,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,14,0,,0.9%
Lowton,90,0,0,0,1,0,0,0,0,0,0,0,13,2,2,AVL,3 - 1,ARS,Away,1,DEF,28,Very difficult,30,0,,2.4%
Delph,90,0,0,0,1,0,0,0,0,0,0,0,13,2,2,AVL,3 - 1,ARS,Away,1,MID,28,Very difficult,37,0,,1.4%
El Ahmadi,90,0,0,0,1,0,0,0,0,0,0,0,20,2,2,AVL,3 - 1,ARS,Away,1,MID,28,Very difficult,43,0,,0.5%
Shawcross,90,0,0,0,1,0,0,0,0,0,0,0,18,3,2,STK,0 - 1,LIV,Away,1,DEF,25,Very difficult,348,0,,11.9%
Huth,90,0,0,0,1,0,0,0,0,0,0,0,0,1,2,STK,0 - 1,LIV,Away,1,DEF,25,Very difficult,349,0,,2.8%
Wilson,90,0,0,0,1,0,0,0,0,0,0,0,10,6,2,STK,0 - 1,LIV,Away,1,DEF,25,Very difficult,350,0,,0.3%
Cameron,90,0,0,0,1,0,0,0,0,0,0,0,3,0,2,STK,0 - 1,LIV,Away,1,DEF,25,Very difficult,351,0,,0.4%
Pieters,90,0,0,0,1,0,0,0,0,0,0,0,3,4,2,STK,0 - 1,LIV,Away,1,DEF,25,Very difficult,352,0,,0.5%
Etherington,63,0,0,0,1,0,0,0,0,0,0,0,20,3,2,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,355,0,,0.2%
Whelan,63,0,0,0,1,0,0,0,0,0,0,0,7,5,2,STK,0 - 1,LIV,Away,1,MID,25,Very difficult,356,0,,0.2%
Crouch,81,0,0,0,1,0,0,0,0,0,0,0,4,1,2,STK,0 - 1,LIV,Away,1,FWD,25,Very difficult,365,0,,3.9%
Ruddy,90,0,0,0,2,0,0,0,0,0,4,0,8,4,2,NOR,2 - 2,EVE,Home,1,GKP,15,Difficult,297,0,,2.2%
Hoolahan,73,0,0,0,2,0,0,0,0,0,0,0,7,1,2,NOR,2 - 2,EVE,Home,1,MID,15,Difficult,310,0,,1.4%
Johnson,90,0,0,0,2,0,0,0,0,0,0,0,6,1,2,NOR,2 - 2,EVE,Home,1,MID,15,Difficult,312,0,,2.7%
Elliott Bennett,90,0,0,0,2,0,0,0,0,0,0,0,15,1,2,NOR,2 - 2,EVE,Home,1,MID,15,Difficult,314,0,,0.3%
Howson,90,0,0,0,2,0,0,0,0,0,0,0,7,1,2,NOR,2 - 2,EVE,Home,1,MID,15,Difficult,315,0,,0.2%
Redmond,86,0,0,0,2,0,0,0,0,0,0,0,9,1,2,NOR,2 - 2,EVE,Home,1,MID,15,Difficult,318,0,,1.1%
Osman,90,0,0,0,2,0,0,0,0,0,0,0,8,4,2,EVE,2 - 2,NOR,Away,1,MID,13,Average,132,0,,2.5%
Fellaini,90,0,0,0,2,0,0,0,0,0,0,0,6,3,2,EVE,2 - 2,NOR,Away,1,MID,13,Average,133,0,,12.9%
Pienaar,90,0,0,0,2,0,0,0,0,0,0,0,9,5,2,EVE,2 - 2,NOR,Away,1,MID,13,Average,136,0,,5.4%
Mirallas,70,0,0,0,1,0,0,0,0,0,0,0,10,0,2,EVE,2 - 2,NOR,Away,1,MID,13,Average,138,0,,7.1%
Westwood,90,0,0,0,1,0,0,0,0,0,0,0,2,2,2,SUN,0 - 1,FUL,Home,1,GKP,6,Favourable,367,0,,0.6%
O'Shea,90,0,0,0,1,0,0,0,0,0,0,0,4,5,2,SUN,0 - 1,FUL,Home,1,DEF,6,Favourable,370,0,,7.6%
Roberge,90,0,0,0,1,0,0,0,0,0,0,0,8,4,2,SUN,0 - 1,FUL,Home,1,DEF,6,Favourable,375,0,,0.1%
Celustka,86,0,0,0,1,0,0,0,0,0,0,0,9,3,2,SUN,0 - 1,FUL,Home,1,DEF,6,Favourable,536,0,,0.1%
Johnson,90,0,0,0,1,0,0,0,0,0,0,0,12,4,2,SUN,0 - 1,FUL,Home,1,MID,6,Favourable,376,0,,3.6%
Colback,90,0,0,0,1,0,0,0,0,0,0,0,8,4,2,SUN,0 - 1,FUL,Home,1,MID,6,Favourable,378,0,,11.3%
Larsson,90,0,0,0,1,0,0,0,0,0,0,0,11,4,2,SUN,0 - 1,FUL,Home,1,MID,6,Favourable,379,0,,2.3%
Sessegnon,72,0,0,0,1,0,0,0,0,0,0,0,0,3,2,SUN,0 - 1,FUL,Home,1,MID,6,Favourable,383,0,,4.6%
Cabral,90,0,0,0,1,0,0,0,0,0,0,0,0,1,2,SUN,0 - 1,FUL,Home,1,MID,6,Favourable,386,0,,0.5%
Giaccherini,90,0,0,0,1,0,0,0,0,0,0,0,7,2,2,SUN,0 - 1,FUL,Home,1,MID,6,Favourable,499,0,,2.7%
Altidore,90,0,0,0,1,0,0,0,0,0,0,0,5,2,2,SUN,0 - 1,FUL,Home,1,FWD,6,Favourable,393,0,,1.8%
Boateng,65,0,0,1,0,0,0,0,1,0,0,0,10,1,2,FUL,1 - 0,SUN,Away,1,MID,10,Average,165,0,,0.8%
Dyer,90,0,0,0,4,0,0,0,0,0,0,0,2,5,2,SWA,1 - 4,MUN,Home,1,MID,29,Very difficult,408,0,,2.4%
Shelvey,90,0,0,0,4,0,0,0,0,0,0,0,22,4,2,SWA,1 - 4,MUN,Home,1,MID,29,Very difficult,416,0,,2.3%
Michu,90,0,0,0,4,0,0,0,0,0,0,0,19,2,2,SWA,1 - 4,MUN,Home,1,MID,29,Very difficult,417,0,,19.2%
Jones,90,0,0,0,1,0,0,0,0,0,0,0,21,4,2,MUN,4 - 1,SWA,Away,1,DEF,11,Average,245,0,,3.1%
Vidic,90,0,0,0,1,0,0,0,0,0,0,0,15,5,2,MUN,4 - 1,SWA,Away,1,DEF,11,Average,247,0,,7.8%
Ferdinand,90,0,0,0,1,0,0,0,0,0,0,0,14,5,2,MUN,4 - 1,SWA,Away,1,DEF,11,Average,248,0,,3.1%
Evra,90,0,0,0,1,0,0,0,0,0,0,0,31,3,2,MUN,4 - 1,SWA,Away,1,DEF,11,Average,249,1,-1,13.8%
Foster,90,0,0,0,1,0,0,0,0,0,2,0,5,3,2,WBA,0 - 1,SOU,Home,1,GKP,5,Favourable,451,0,,5.2%
Olsson,90,0,0,0,1,0,0,0,0,0,0,0,6,4,2,WBA,0 - 1,SOU,Home,1,DEF,5,Favourable,454,0,,1.1%
Dorrans,90,0,0,0,1,0,0,0,0,0,0,0,9,4,2,WBA,0 - 1,SOU,Home,1,MID,5,Favourable,461,0,,0.2%
Morrison,90,0,0,0,1,0,0,0,0,0,0,0,0,2,2,WBA,0 - 1,SOU,Home,1,MID,5,Favourable,463,0,,6.4%
Yacob,90,0,0,0,1,0,0,0,0,0,0,0,4,2,2,WBA,0 - 1,SOU,Home,1,MID,5,Favourable,466,0,,1.3%
Long,83,0,0,1,0,0,0,0,0,0,0,0,0,2,2,WBA,0 - 1,SOU,Home,1,FWD,5,Favourable,469,0,,3.2%
Anelka,83,0,0,1,0,0,0,0,0,0,0,0,3,1,2,WBA,0 - 1,SOU,Home,1,FWD,5,Favourable,471,0,,17.7%
Rodriguez,78,0,0,1,0,0,0,0,0,0,0,0,12,0,2,SOU,1 - 0,WBA,Away,1,FWD,14,Difficult,343,0,,1.9%
Maiga,90,0,0,1,0,0,0,0,0,0,0,0,21,3,2,WHU,2 - 0,CAR,Home,1,FWD,1,Very favourable,495,0,,0.3%
Whittingham,90,0,0,0,2,0,0,0,0,0,0,0,0,5,2,CAR,0 - 2,WHU,Away,1,MID,16,Difficult,63,0,,2.0%
Kim Bo-Kyung,75,0,0,0,1,0,0,0,0,0,0,0,0,1,2,CAR,0 - 2,WHU,Away,1,MID,16,Difficult,66,0,,1.5%
Gunnarsson,90,0,0,0,2,0,0,0,0,0,0,0,6,2,2,CAR,0 - 2,WHU,Away,1,MID,16,Difficult,68,0,,0.3%
Bellamy,75,0,0,0,1,0,0,0,0,0,0,0,7,2,2,CAR,0 - 2,WHU,Away,1,MID,16,Difficult,70,0,,6.2%
Medel,90,0,0,0,2,0,0,0,0,0,0,0,5,4,2,CAR,0 - 2,WHU,Away,1,MID,16,Difficult,534,0,,0.5%
Campbell,96,0,0,0,2,0,0,0,0,0,0,0,3,0,2,CAR,0 - 2,WHU,Away,1,FWD,16,Difficult,75,0,,0.8%
Koren,90,0,0,0,2,0,0,0,0,0,0,0,12,5,2,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,181,0,,0.7%
Brady,90,0,0,0,2,0,0,0,0,0,0,0,11,4,2,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,183,0,,0.7%
Elmohamady,90,0,0,0,2,0,0,0,0,0,0,0,16,5,2,HUL,0 - 2,CHE,Away,1,MID,28,Very difficult,185,0,,0.4%
Aluko,79,0,0,0,2,0,0,0,0,0,0,0,4,4,2,HUL,0 - 2,CHE,Away,1,FWD,28,Very difficult,187,0,,0.3%
Sagbo,90,0,0,0,2,0,0,0,0,0,0,0,4,2,2,HUL,0 - 2,CHE,Away,1,FWD,28,Very difficult,527,0,,0.1%
Speroni,90,0,0,0,1,0,0,0,0,0,2,0,4,2,2,CRY,0 - 1,TOT,Home,1,GKP,23,Difficult,102,0,,1.7%
Ward,90,0,0,0,1,0,0,0,0,0,0,0,9,2,2,CRY,0 - 1,TOT,Home,1,DEF,23,Difficult,104,0,,2.6%
Moxey,90,0,0,0,1,0,0,0,0,0,0,0,3,1,2,CRY,0 - 1,TOT,Home,1,DEF,23,Difficult,106,0,,0.6%
Delaney,90,0,0,0,1,0,0,0,0,0,0,0,9,3,2,CRY,0 - 1,TOT,Home,1,DEF,23,Difficult,107,0,,0.4%
Gabbidon,90,0,0,0,1,0,0,0,0,0,0,0,4,2,2,CRY,0 - 1,TOT,Home,1,DEF,23,Difficult,109,0,,1.8%
Dikgacoi,90,0,0,0,1,0,0,0,0,0,0,0,12,3,2,CRY,0 - 1,TOT,Home,1,MID,23,Difficult,112,0,,0.3%
Garvan,66,0,0,0,1,0,0,0,0,0,0,0,8,5,2,CRY,0 - 1,TOT,Home,1,MID,23,Difficult,113,0,,0.2%
Wilbraham,66,0,0,0,1,0,0,0,0,0,0,0,9,0,2,CRY,0 - 1,TOT,Home,1,FWD,23,Difficult,119,0,,0.5%
Gayle,90,0,0,0,1,0,0,0,0,0,0,0,3,1,2,CRY,0 - 1,TOT,Home,1,FWD,23,Difficult,120,0,,0.8%
Dobbie,66,0,0,0,1,0,0,0,0,0,0,0,8,2,2,CRY,0 - 1,TOT,Home,1,FWD,23,Difficult,512,0,,0.4%
Guzan,90,0,0,0,1,0,0,0,0,0,3,0,15,5,3,AVL,3 - 1,ARS,Away,1,GKP,28,Very difficult,26,0,,3.8%
Gerrard,90,0,0,1,0,0,0,0,0,0,0,0,33,5,3,LIV,1 - 0,STK,Home,1,MID,4,Very favourable,203,1,-1,8.2%
Lucas,90,0,0,1,0,0,0,0,0,0,0,0,20,5,3,LIV,1 - 0,STK,Home,1,MID,4,Very favourable,204,0,,4.7%
Henderson,90,0,0,1,0,0,0,0,0,0,0,0,34,3,3,LIV,1 - 0,STK,Home,1,MID,4,Very favourable,205,2,-2,0.9%
Coutinho,90,0,0,1,0,0,0,0,0,0,0,0,23,3,3,LIV,1 - 0,STK,Home,1,MID,4,Very favourable,209,0,,23.0%
Sidwell,90,0,0,1,0,0,0,0,0,0,0,0,17,4,3,FUL,1 - 0,SUN,Away,1,MID,10,Average,157,1,-1,1.6%
Taarabt,90,0,0,1,0,0,0,0,0,0,0,0,17,2,3,FUL,1 - 0,SUN,Away,1,MID,10,Average,533,1,-1,4.5%
de Gea,90,0,0,0,1,0,0,0,0,0,5,0,17,4,3,MUN,4 - 1,SWA,Away,1,GKP,11,Average,242,0,,12.7%
Lallana,70,0,0,1,0,0,0,0,0,0,0,0,12,0,3,SOU,1 - 0,WBA,Away,1,MID,14,Difficult,333,0,,1.4%
Schneiderlin,90,0,0,1,0,0,0,0,0,0,0,0,15,3,3,SOU,1 - 0,WBA,Away,1,MID,14,Difficult,334,0,,3.3%
Ward-Prowse,94,0,0,1,0,0,0,0,0,0,0,0,40,3,3,SOU,1 - 0,WBA,Away,1,MID,14,Difficult,338,3,-3,0.2%
Wanyama,90,0,0,1,0,0,0,0,0,0,0,0,15,2,3,SOU,1 - 0,WBA,Away,1,MID,14,Difficult,340,0,,6.2%
Diamé,82,0,0,1,0,0,0,0,0,0,0,0,11,1,3,WHU,2 - 0,CAR,Home,1,MID,1,Very favourable,490,0,,3.6%
Ramires,90,0,0,1,0,0,0,0,0,0,0,0,16,7,3,CHE,2 - 0,HUL,Home,1,MID,1,Very favourable,88,0,,5.4%
Hazard,90,0,0,1,0,0,0,0,0,0,0,0,21,4,3,CHE,2 - 0,HUL,Home,1,MID,1,Very favourable,94,1,-1,34.9%
Rose,86,0,0,1,0,0,0,0,0,0,0,0,22,2,3,TOT,1 - 0,CRY,Away,1,MID,3,Very favourable,441,0,,0.6%
Sigurdsson,90,0,0,1,0,0,0,0,0,0,0,0,25,2,3,TOT,1 - 0,CRY,Away,1,MID,3,Very favourable,442,2,-2,1.6%
Paulinho,90,0,0,1,0,0,0,0,0,0,0,0,12,6,3,TOT,1 - 0,CRY,Away,1,MID,3,Very favourable,445,0,,12.1%
Chadli,90,0,0,1,0,0,0,0,0,0,0,0,6,6,3,TOT,1 - 0,CRY,Away,1,MID,3,Very favourable,514,0,,0.7%
Chamberlain,45,0,1,0,1,0,0,0,0,0,0,0,11,4,4,ARS,1 - 3,AVL,Home,1,MID,8,Favourable,16,0,,2.4%
Agbonlahor,90,0,1,0,1,0,0,0,1,0,0,0,19,2,4,AVL,3 - 1,ARS,Away,1,FWD,28,Very difficult,50,0,,2.1%
Valencia,90,0,1,0,1,0,0,0,1,0,0,0,21,5,4,MUN,4 - 1,SWA,Away,1,MID,11,Average,253,0,,1.2%
Weimann,88,0,1,0,1,0,0,0,0,0,0,0,19,6,5,AVL,3 - 1,ARS,Away,1,FWD,28,Very difficult,51,0,,2.7%
Touré,90,0,0,1,0,0,0,0,1,0,0,0,9,6,5,LIV,1 - 0,STK,Home,1,DEF,4,Very favourable,201,0,,9.0%
