Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS,£
Jeffrey Schlupp,CRY,DEF,47,0,2,1139,0,0,0,0,0,4,3,£4.7
Jeremain Lens,SUN,MID,2,0,0,69,0,0,0,0,0,0,0,£5.9
Jermain Defoe,SUN,FWD,166,15,3,3322,0,1,0,0,0,24,6,£7.4
Jerome Sinclair,WAT,FWD,6,0,0,116,0,0,0,0,0,0,0,£4.8
Jesse Lingard,MUN,MID,60,1,3,1360,0,3,0,0,0,3,7,£5.6
Jesús Navas,MCI,MID,48,0,3,1064,0,2,0,0,0,6,2,£6.1
Joe Allen,STK,MID,118,6,3,2930,0,9,0,0,0,10,10,£4.9
Joe Hart,MCI,GK,0,0,0,0,0,0,0,0,0,0,0,£5.3
Joe Ledley,CRY,MID,40,1,1,1160,0,1,0,0,0,1,2,£4.3
Joe Williams,EVE,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Joel Asoro,SUN,MID,1,0,0,10,0,0,0,0,0,0,0,£4.4
Joel Campbell,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,£5.9
Joel Dinis Castro Pereira,MUN,GK,6,0,0,90,0,0,1,0,0,0,1,£4
Joel Matip,LIV,DEF,97,1,0,2457,0,3,0,0,0,7,9,£5.4
Joel Robles,EVE,GK,89,0,1,1737,0,2,54,0,0,5,10,£4.7
Joel Taylor,STK,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Joel Ward,CRY,DEF,86,0,1,3417,0,7,0,0,0,7,7,£4.8
Joey Barton,BUR,MID,37,1,2,1105,0,4,0,0,0,0,4,£4.1
Johann Berg Gudmundsson,BUR,MID,47,1,3,999,0,1,0,0,0,3,3,£4.8
John O'Shea,SUN,DEF,47,0,1,2158,0,5,0,0,0,3,3,£4.4
John Obi Mikel,CHE,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
John Stones,MCI,DEF,59,0,0,2014,0,1,0,0,0,4,4,£4.6
John Terry,CHE,DEF,21,1,0,496,0,1,0,0,0,0,1,£5.2
Joleon Lescott,SUN,DEF,1,0,0,124,0,0,0,0,0,0,0,£3.9
Jon Flanagan,BUR,DEF,9,0,0,360,0,2,0,0,0,0,1,£4.3
Jonas Olsson,WBA,DEF,8,0,0,590,0,3,0,0,0,0,1,£4.2
Jonathan Benteke,CRY,FWD,1,0,0,7,0,0,0,0,0,0,0,£4.3
Jonathan Calleri,WHU,FWD,23,1,0,540,0,0,0,0,0,0,3,£6.6
Jonathan Leko,WBA,MID,12,0,1,118,0,0,0,0,0,0,0,£4.1
Jonathan Walters,STK,MID,72,4,3,1304,0,1,0,0,0,3,6,£5.3
Jonathan Williams,CRY,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Jonjoe Kenny,EVE,DEF,1,0,0,13,0,0,0,0,0,0,0,£4
Jonny Evans,WBA,DEF,79,2,1,2637,0,8,0,0,0,7,4,£4.4
Jordan Ayew,SWA,FWD,39,1,4,867,0,1,0,0,0,2,5,£5
Jordan Henderson,LIV,MID,73,1,4,2116,0,8,0,0,0,9,7,
Jordan Pickford,SUN,GK,102,0,0,2610,0,0,135,0,0,9,4,£4.2
Jordan Rhodes,MID,FWD,8,0,0,211,0,0,0,0,0,0,0,£5.4
Jordi Amat,SWA,DEF,21,0,0,1409,0,5,0,0,0,0,2,£3.8
Jordon Ibe,BOU,MID,36,0,0,1055,0,0,0,0,0,0,3,£4.9
Jordon Mutch,CRY,MID,4,0,0,53,0,0,0,0,0,0,0,£4.2
Jordy Clasie,SOU,MID,38,1,1,1022,0,3,0,0,0,3,2,£4.6
Jose Angel Esmoris Tasende,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.3
Jose Fonte,WHU,DEF,98,0,0,2934,0,4,0,0,0,10,11,£5.3
Jose Luis Mato Sanmartín,STK,FWD,0,0,0,0,0,0,0,0,0,0,0,£5.3
Joseph Gomez,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.8
Josh Clackstone,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Josh Cullen,WHU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.3
Josh Maja,SUN,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Josh Robson,SUN,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Josh Tymon,HUL,DEF,9,0,0,323,0,1,0,0,0,0,1,£4
Joshua Harrop,MUN,MID,8,1,0,90,0,0,0,0,0,0,1,£4.5
Joshua King,BOU,MID,178,16,3,2714,0,1,0,0,1,17,9,£6.2
Joshua Onomah,TOT,MID,5,0,0,22,0,0,0,0,0,0,0,£4.2
Joshua Sims,SOU,MID,12,0,1,211,0,0,0,0,0,0,1,£4.1
José Holebas,WAT,DEF,87,2,4,2905,0,14,0,0,0,9,7,£4.6
Juan Carlos Paredes,WAT,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Juan Cuadrado,CHE,MID,0,0,0,0,0,0,0,0,0,0,0,£6.9
Juan Mata,MUN,MID,102,6,3,1614,0,3,0,0,0,14,10,£7.2
Juan Zuñiga,WAT,DEF,38,1,1,823,0,1,0,0,0,2,1,£4.1
Julian Speroni,CRY,GK,0,0,0,0,0,0,0,0,0,0,0,£4.3
Julien de Sart,MID,MID,0,0,0,0,0,0,0,0,0,0,0,£4.3
Julien Ngoy,STK,FWD,5,0,0,49,0,0,0,0,0,0,0,£4.5
Junior Stanislas,BOU,MID,107,7,6,1467,0,1,0,0,0,13,4,£4.6
Jérémy Pied,SOU,DEF,5,0,0,129,0,0,0,0,0,0,0,£4.7
Kamil Grosicki,HUL,MID,43,0,5,1143,0,1,0,0,0,0,3,£5.5
Kane Wilson,WBA,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Kasper Schmeichel,LEI,GK,109,0,0,2666,0,1,113,0,0,10,8,£4.9
Kelechi Iheanacho,MCI,FWD,52,4,3,537,0,0,0,0,0,6,1,£6
Keshi Anderson,CRY,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Kevin De Bruyne,MCI,MID,199,6,21,2877,0,4,0,0,1,33,11,£10.5
Kevin Long,BUR,DEF,3,0,0,270,0,0,0,0,0,0,0,£4
Kevin Mirallas,EVE,MID,119,4,8,2074,0,2,0,0,0,8,11,£5.9
Kevin Stewart,LIV,DEF,4,0,0,20,0,0,0,0,0,0,0,£4.2
Kevin Wimmer,TOT,DEF,2,0,0,357,0,3,0,0,0,0,0,£4.5
Kieran Gibbs,ARS,DEF,45,0,1,702,0,3,0,0,0,3,6,£4.7
Kieran O'Hara,MUN,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Kieran Trippier,TOT,DEF,51,0,5,568,0,1,0,0,0,7,3,£4.7
Kristoffer Nordfeldt,SWA,GK,3,0,0,90,0,0,4,0,0,0,0,£3.9
Kurt Zouma,CHE,DEF,15,0,1,250,0,0,0,0,0,3,0,£5.3
Kyle Naughton,SWA,DEF,82,1,0,2714,0,5,0,0,0,7,8,£4.4
Kyle Walker,TOT,DEF,142,0,6,2701,0,8,0,0,0,18,14,£6.2
Lamine Koné,SUN,DEF,69,1,0,2545,0,4,0,0,0,5,5,£4.2
Laurent Koscielny,ARS,DEF,121,2,1,2821,1,4,0,0,0,19,10,£6.1
Lazar Markovic,HUL,MID,37,2,0,1005,0,4,0,0,0,2,5,£5.2
Lee Cattermole,SUN,MID,12,0,0,633,0,4,0,0,0,0,0,
Lee Grant,STK,GK,106,0,0,2520,0,1,91,0,0,9,9,£4.3
Leighton Baines,EVE,DEF,135,2,5,2819,0,4,0,0,1,15,11,£5.8
Leiva Lucas,LIV,MID,47,0,3,1112,0,4,0,0,0,2,4,£4.4
Leon Britton,SWA,MID,32,0,0,1163,0,3,0,0,0,0,5,£4.4
Leonardo Ulloa,LEI,FWD,24,1,0,447,0,0,0,0,0,1,2,£5.5
Leroy Fer,SWA,MID,95,6,2,2405,0,9,0,0,0,5,4,£4.8
Leroy Sané,MCI,MID,105,5,7,1781,0,4,0,0,0,8,9,£7.7
Lewis Cook,BOU,MID,17,0,2,432,0,1,0,0,0,1,1,£4.2
Lewis Grabban,BOU,FWD,6,0,1,60,0,0,0,0,0,0,0,£4.3
Lloyd Isgrove,SOU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Loris Karius,LIV,GK,32,0,0,900,0,0,20,0,0,0,3,£4.3
Loïc Remy,CRY,FWD,6,0,0,134,0,0,0,0,0,0,1,£6.2
Lucas Pérez,ARS,FWD,20,1,1,272,0,0,0,0,0,0,1,£7.8
Luciano Narsingh,SWA,MID,25,0,3,416,0,0,0,0,0,0,1,£5.1
Luis Hernández,LEI,DEF,3,0,0,327,0,1,0,0,0,0,0,£4.2
Luka Milivojevic,CRY,MID,42,2,0,1224,0,4,0,0,0,3,5,£5
Lukas Jutkiewicz,BUR,FWD,2,0,0,13,0,0,0,0,0,0,0,£4.3
Lukasz Fabianski,SWA,GK,116,0,0,3330,0,1,117,1,0,8,8,£4.8
Luke Dreher,CRY,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Luke McGee,TOT,GK,0,0,0,0,0,0,0,0,0,0,0,£3.9
Luke Shaw,MUN,DEF,45,0,3,688,0,1,0,0,0,4,4,£5.2
Lynden Gooch,SUN,MID,12,0,0,366,0,3,0,0,0,0,1,£4.1
Lys Mousset,BOU,FWD,14,0,1,270,0,0,0,0,0,0,1,£5.1
M'Baye Niang,WAT,FWD,49,2,2,1246,0,2,0,0,0,6,3,£5.8
Maarten Stekelenburg,EVE,GK,68,0,0,1683,0,2,43,2,0,3,4,£4.7
Maksymilian Stryjek,SUN,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Mamadou Obbi Oularé,WAT,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Mamadou Sakho,CRY,DEF,35,0,0,686,0,0,0,0,0,6,4,£4.7
Mame Biram Diouf,STK,FWD,51,1,2,1385,0,3,0,0,0,2,5,£5.7
Manolo Gabbiadini,SOU,FWD,38,4,1,724,0,1,0,0,1,4,3,£6.4
Manuel Agudo Durán,MCI,MID,54,4,3,777,1,3,0,0,0,2,3,£8.4
Manuel Lanzini,WHU,MID,133,8,3,2708,0,9,0,0,0,20,9,£5.9
Marc Albrighton,LEI,MID,95,2,6,2412,0,5,0,0,0,3,8,£5
Marc Muniesa,STK,DEF,34,1,0,650,0,2,0,0,0,3,3,£4
Marc Pugh,BOU,MID,64,2,3,1329,0,1,0,0,0,6,5,£4.6
Marc Wilson,WBA,DEF,0,0,0,255,0,3,0,0,0,0,0,£3.8
Marcin Wasilewski,LEI,DEF,1,0,0,90,0,0,0,0,0,0,0,£3.9
Marco Van Ginkel,CHE,MID,0,0,0,0,0,0,0,0,0,0,0,£4.9
Marcos Alonso,CHE,DEF,177,6,5,2693,0,2,0,0,0,11,15,£6.9
Marcos Rojo,MUN,DEF,77,1,0,1663,0,5,0,0,0,7,8,£5.2
Marcus Browne,WHU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Marcus Rashford,MUN,FWD,76,5,3,1712,0,3,0,0,0,2,7,£6.4
Mario Balotelli,LIV,FWD,0,0,0,0,0,0,0,0,0,0,0,£6.3
Mario Suárez,WAT,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Mark Noble,WHU,MID,71,3,0,2389,0,10,0,0,1,5,8,£6.2
Marko Arnautovic,STK,MID,117,6,7,2713,1,9,0,0,1,8,9,£7.1
Marko Grujic,LIV,MID,4,0,0,43,0,1,0,0,0,0,0,£4.3
Markus Henriksen,HUL,MID,20,0,0,638,0,1,0,0,0,0,0,£4.9
Marouane Fellaini,MUN,MID,48,1,0,1604,1,8,0,0,0,0,10,£5.8
Marten de Roon,MID,MID,91,4,1,2773,0,8,0,0,0,5,8,
Martin Kelly,CRY,DEF,46,0,2,2124,0,4,0,0,0,0,2,£4.2
Martin Olsson,SWA,DEF,52,2,0,1252,0,2,0,0,0,3,4,£4.1
Martín Cáceres,SOU,DEF,2,0,0,90,0,0,0,0,0,0,0,£5
Marvin Emnes,SWA,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.4
Mason Holgate,EVE,DEF,54,0,1,1372,0,2,0,0,0,5,5,£4.1
Matej Vydra,WAT,FWD,1,0,0,3,0,0,0,0,0,0,0,£4.5
Mateusz Hewelt,EVE,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Mathieu Debuchy,ARS,DEF,1,0,0,15,0,0,0,0,0,0,0,£4.6
Mathieu Flamini,CRY,MID,12,0,0,274,0,0,0,0,0,0,0,£4.2
Matt Macey,ARS,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Matt Miazga,CHE,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Matt Phillips,WBA,MID,115,4,9,2181,0,2,0,0,0,12,6,£5.3
Matt Targett,SOU,DEF,12,0,0,373,0,0,0,0,0,0,1,£4.1
Matteo Darmian,MUN,DEF,70,0,0,1333,0,3,0,0,0,6,9,£5
Matthew James,LEI,MID,1,0,0,1,0,0,0,0,0,0,0,£4.5
Matthew Lowton,BUR,DEF,90,0,2,3240,0,9,0,0,0,5,9,£4.5
Matthew Pennington,EVE,DEF,9,1,0,180,0,0,0,0,0,0,0,£3.9
Matthew Willock,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Matthew Worthington,BOU,MID,1,0,0,17,0,0,0,0,0,0,0,£4.5
Mauro Zárate,WAT,FWD,8,0,1,204,0,0,0,0,0,0,0,£5.2
Max Gradel,BOU,MID,8,0,0,134,0,3,0,0,0,0,0,£5
Maya Yoshida,SOU,DEF,78,1,1,2070,0,2,0,0,0,8,7,£4.5
Memphis Depay,MUN,MID,3,0,0,24,0,1,0,0,0,0,0,£7.1
Mesut Özil,ARS,MID,167,8,11,2841,0,2,0,0,0,19,12,£9.5
Michael Carrick,MUN,MID,42,0,0,1601,0,2,0,0,0,0,5,£4.2
Michael Dawson,HUL,DEF,46,3,0,1722,0,4,0,0,0,4,1,£4.2
Michael Folivi,WAT,FWD,1,0,0,10,0,0,0,0,0,0,0,£4.5
Michael Keane,BUR,DEF,113,2,1,3150,0,4,0,0,0,10,10,£5
Michael Kightly,BUR,MID,6,0,0,104,0,0,0,0,0,0,0,£4.2
Michael Ledger,SUN,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Michael Phillips,CRY,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Michael Simões Domingues,SUN,GK,0,0,0,0,0,0,0,0,0,0,0,£4.4
Michail Antonio,WHU,MID,132,9,8,2433,1,4,0,0,0,8,7,£6.7
Michel Vorm,TOT,GK,17,0,0,416,0,0,7,0,0,0,2,£4.8
Michy Batshuayi,CHE,FWD,48,5,1,254,0,0,0,0,0,4,0,£8.4
Miguel Britos,WAT,DEF,71,1,2,2280,2,6,0,0,0,8,6,£4.2
Mike van der Hoorn,SWA,DEF,16,1,0,662,0,1,0,0,0,0,1,£4.3
Mile Jedinak,CRY,MID,2,0,0,90,0,0,0,0,0,0,0,£4.5
Modou Barrow,SWA,FWD,34,0,2,1145,0,1,0,0,0,0,4,£5
Mohamed Diamé,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,£5.5
Mohamed Elneny,ARS,MID,26,0,1,694,0,1,0,0,0,0,3,£4.5
Molla Wagué,LEI,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Morgan Schneiderlin,EVE,MID,37,1,0,1073,0,2,0,0,0,1,5,£4.5
Moses Makasi,WHU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Moses Odubajo,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Mouez Hassen,SOU,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Mousa Dembélé,TOT,MID,76,1,2,2056,0,5,0,0,0,6,11,£5.4
Moussa Sissoko,TOT,MID,43,0,3,909,0,3,0,0,0,0,4,£6.6
Muhamed Besic,EVE,MID,0,0,0,0,0,0,0,0,0,0,0,£4.3
N'Golo Kanté,CHE,MID,83,1,1,3138,0,9,0,0,0,1,13,
Nabil Bentaleb,TOT,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Nacer Chadli,WBA,MID,110,5,6,2135,0,2,0,0,0,8,6,£5.8
Nacho Monreal,ARS,DEF,115,0,3,3153,0,5,0,0,0,9,11,£5.9
Nampalys Mendy,LEI,MID,6,0,0,269,0,1,0,0,0,0,1,£4.4
Nathan Aké,CHE,DEF,55,3,1,834,0,1,0,0,0,8,3,£3.9
Nathan Dyer,SWA,MID,12,0,1,214,0,0,0,0,0,0,0,£4.7
Nathan Holland,WHU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Nathan Redmond,SOU,MID,126,7,1,2898,1,2,0,0,0,13,12,£5.9
Nathaniel Chalobah,CHE,MID,12,0,1,167,0,2,0,0,0,0,0,£4.5
Nathaniel Clyne,LIV,DEF,129,0,2,3323,0,0,0,0,0,13,12,£5.9
Neil Taylor,SWA,DEF,22,0,1,920,0,1,0,0,0,0,2,£4.1
Nemanja Matic,CHE,MID,105,1,8,2694,0,4,0,0,0,1,15,£4.8
Nick Pope,BUR,GK,0,0,0,0,0,0,0,0,0,0,0,£3.9
Nicolás Otamendi,MCI,DEF,100,1,2,2592,0,9,0,0,0,10,9,£5.9
Noor Husin,CRY,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Nordin Amrabat,WAT,MID,65,0,3,2091,0,4,0,0,0,5,4,£5
Odion Ighalo,WAT,FWD,39,1,1,1291,0,1,0,0,0,2,2,£6.8
Ola Aina,CHE,DEF,3,0,0,26,0,0,0,0,0,0,0,£4.5
Olayinka Fredrick Oladotun Ladapo,CRY,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Oleksandr Zinchenko,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,£5.3
Oliver McBurnie,SWA,FWD,5,0,0,82,0,0,0,0,0,0,0,£4.5
Olivier Giroud,ARS,FWD,116,12,5,1206,0,2,0,0,0,17,4,£8.1
Olufela Olomola,SOU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Oluwaseyi Ojo,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,£4.7
Oluwatosin Adarabioyo,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.5
Omar Elabdellaoui,HUL,DEF,13,0,0,615,0,0,0,0,0,0,1,£4.4
Oriol Romeu Vidal,SOU,MID,80,1,0,3071,0,11,0,0,0,4,13,£4.4
Oscar dos Santos Emboaba Junior,CHE,MID,17,0,1,455,0,1,0,0,0,0,1,£7.1
Oumar Niasse,HUL,FWD,44,4,1,1096,1,3,0,0,0,3,2,£5.5
Oviemuno Ejaria,LIV,MID,2,0,0,8,0,0,0,0,0,0,0,£4.4
Pablo Maffeo,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.5
Pablo Zabaleta,MCI,DEF,45,1,1,1065,0,2,0,0,0,5,2,£4.7
Pape Souaré,CRY,DEF,6,0,0,270,0,0,0,0,0,0,0,£4.1
Papy Djilobodji,SUN,DEF,24,0,0,1577,1,4,0,0,0,0,2,£4.2
Patrick Bamford,MID,FWD,21,1,0,326,0,1,0,0,0,2,0,£4.9
Patrick McNair,SUN,DEF,12,0,0,353,0,0,0,0,0,0,1,£4.2
Patrick van Aanholt,CRY,DEF,98,5,1,2498,0,3,0,0,0,9,5,£4.9
Pau López Sabata,TOT,GK,0,0,0,0,0,0,0,0,0,0,0,£4.9
Paul Pogba,MUN,MID,115,5,4,2608,0,7,0,0,0,14,13,£8.2
Paul Robinson,BUR,GK,5,0,0,270,0,0,10,0,0,0,0,£4
Paulo Gazzaniga,SOU,GK,0,0,0,0,0,0,0,0,0,0,0,£4.5
Pedro Chirivella,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,£4.2
Pedro Obiang,WHU,MID,55,1,2,1763,0,7,0,0,0,6,4,£4.3
Pedro Rodríguez Ledesma,CHE,MID,162,9,10,2140,0,6,0,0,0,18,15,£6.8
Per Mertesacker,ARS,DEF,1,0,0,38,0,0,0,0,0,0,0,£4.8
Peter Crouch,STK,FWD,79,7,3,1343,0,3,0,0,0,7,4,£4.4
Petr Cech,ARS,GK,134,0,0,3097,0,2,115,0,0,2,12,£5.4
Phil Bardsley,STK,DEF,27,0,0,1168,1,4,0,0,0,0,3,£4.2
Phil Jagielka,EVE,DEF,104,3,3,2251,1,4,0,0,0,16,6,£4.9
Phil Jones,MUN,DEF,55,0,0,1584,0,2,0,0,0,4,5,
Philipp Wollscheid,STK,DEF,1,0,0,180,0,1,0,0,0,0,0,£4.5
Philippe Coutinho,LIV,MID,171,13,8,2228,0,2,0,0,0,21,8,£8.7
Pierre-Emile Højbjerg,SOU,MID,38,0,0,1300,0,2,0,0,0,0,6,£4.2
Ragnar Klavan,LIV,DEF,43,0,0,1410,0,3,0,0,0,4,3,£4.4
Raheem Sterling,MCI,MID,149,7,14,2509,0,7,0,0,0,11,9,£7.5
Ramadan Sobhi,STK,MID,36,0,2,855,0,2,0,0,0,1,5,£4.8
Ramiro Funes Mori,EVE,DEF,69,0,1,1543,0,0,0,0,0,4,7,£4.5
Raphael Spiegel,WHU,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Reece Burke,WHU,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Reece Oxford,WHU,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.2
Rekeem Harper,WBA,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Rene Gilmartin,WAT,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Rhian Brewster,LIV,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Rickie Lambert,WBA,FWD,1,0,0,13,0,0,0,0,0,0,0,£5.4
Ritchie de Laet,LEI,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Riyad Mahrez,LEI,MID,120,6,4,2826,0,4,0,0,2,9,9,£8.9
Rob Holding,ARS,DEF,32,0,0,810,0,3,0,0,0,3,4,£4.1
Robbie Brady,BUR,MID,39,1,3,719,0,1,0,0,0,4,1,£5.5
Robert Huth,LEI,DEF,88,2,2,2926,0,9,0,0,0,1,9,£4.9
Robert Kenedy Nunes do Nascimento,CHE,MID,3,0,0,90,0,0,0,0,0,0,0,£5.1
Robert Snodgrass,WHU,MID,133,7,6,2548,0,2,0,0,0,16,3,£5.5
Roberto Firmino,LIV,MID,180,11,11,3062,0,5,0,0,0,17,11,£8.5
Roberto Pereyra,WAT,MID,43,2,3,1036,1,2,0,0,0,2,3,£5.8
Romelu Lukaku,EVE,FWD,221,25,6,3266,0,3,0,0,0,33,13,£10.1
Ron-Robert Zieler,LEI,GK,17,0,0,754,0,0,18,0,0,0,1,£4.4
Ross Barkley,EVE,MID,144,5,11,2900,0,5,0,0,0,11,12,£7
Rouwen Hennings,BUR,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Ruben Loftus-Cheek,CHE,MID,6,0,0,35,0,0,0,0,0,0,0,£5
Rudy Gestede,MID,FWD,21,1,0,533,0,3,0,0,0,0,1,£4.5
Ryan Allsop,BOU,GK,3,0,0,90,0,0,4,0,0,0,0,£4
Ryan Bertrand,SOU,DEF,123,2,5,2507,0,3,0,0,0,9,12,£5.6
Ryan Fraser,BOU,MID,100,3,9,1764,0,3,0,0,0,8,7,£4.6
Ryan Mason,HUL,MID,26,1,0,927,0,4,0,0,0,0,0,£4.6
Ryan Shawcross,STK,DEF,94,1,2,3150,0,6,0,0,0,6,9,£4.9
Sadio Mané,LIV,MID,156,13,7,2242,0,4,0,0,0,14,8,£9.3
Saido Berahino,STK,FWD,26,0,0,963,0,1,0,0,0,0,4,£6
Salomón Rondón,WBA,FWD,118,8,3,2892,0,2,0,0,0,10,6,£6.3
Sam Byram,WHU,DEF,29,0,1,1249,1,5,0,0,0,2,3,£4.2
Sam Clucas,HUL,MID,87,3,1,3186,1,9,0,0,0,4,5,£4.7
Sam Field,WBA,MID,9,0,0,275,0,2,0,0,0,0,1,£4.3
Sam McQueen,SOU,MID,23,0,1,616,0,0,0,0,0,0,1,£4.2
Sam Surridge,BOU,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Sam Vokes,BUR,FWD,121,10,4,2064,0,0,0,0,0,12,5,£5.7
Samir Nasri,MCI,MID,1,0,0,16,0,0,0,0,0,0,0,£6.4
Samuel Shashoua,TOT,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Santiago Cazorla,ARS,MID,38,2,2,618,0,2,0,0,0,5,4,£7
Scott Arfield,BUR,MID,69,1,2,2103,0,3,0,0,0,3,6,£5.2
Scott Dann,CRY,DEF,61,3,1,1752,0,2,0,0,0,4,2,£5.1
Scott McTominay,MUN,MID,3,0,0,97,0,1,0,0,0,0,1,£4.5
Seamus Coleman,EVE,DEF,133,4,4,2316,0,3,0,0,0,15,10,
Sebastian Larsson,SUN,MID,40,0,3,1468,1,4,0,0,0,0,3,£4.7
Sebastian Prödl,WAT,DEF,67,1,2,2770,1,10,0,0,0,3,5,£4.3
Serge Gnabry,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,£5
Sergio Agüero,MCI,FWD,175,20,5,2404,1,4,0,0,1,32,8,£12.7
Sergio Romero,MUN,GK,23,0,0,180,0,0,10,1,0,3,2,£4.7
Shane Long,SOU,FWD,57,3,2,1262,0,2,0,0,1,2,2,£6.1
Shaun MacDonald,BOU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Shaun Maloney,HUL,MID,24,1,2,283,0,0,0,0,0,2,1,£4.3
Shay Given,STK,GK,13,0,0,450,0,1,18,1,0,3,0,£4.2
Shinji Okazaki,LEI,FWD,63,3,1,1565,0,1,0,0,0,3,7,£5.6
Shkodran Mustafi,ARS,DEF,90,2,2,2274,0,11,0,0,0,8,8,£5.8
Simon Francis,BOU,DEF,89,0,1,2938,1,4,0,0,0,7,10,£4.5
Simon Mignolet,LIV,GK,110,0,0,2520,0,0,52,2,0,7,9,£4.8
Simone Zaza,WHU,FWD,10,0,0,459,0,2,0,0,0,0,2,£6
Sofiane Boufal,SOU,MID,40,1,1,1104,0,5,0,0,0,1,3,£6.7
Sofiane Feghouli,WHU,MID,55,3,3,1042,1,1,0,0,0,4,1,£5
Stefano Okaka,WAT,FWD,43,4,0,959,0,5,0,0,0,3,2,£5.1
Stephen Ireland,STK,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Stephen Kingsley,SWA,DEF,29,0,0,1036,0,0,0,0,0,2,3,£3.9
Stephen Ward,BUR,DEF,91,1,1,3230,0,5,0,0,0,3,8,£4.5
Steve Cook,BOU,DEF,112,2,0,3420,0,5,0,0,0,17,10,£4.8
Steve Mandanda,CRY,GK,19,0,0,810,0,0,24,0,0,0,0,£4.2
Steven Berghuis,WAT,MID,0,0,0,0,0,0,0,0,0,0,0,£5
Steven Davis,SOU,MID,77,0,3,2643,0,3,0,0,0,0,10,£5.1
Steven Defour,BUR,MID,54,1,3,1068,0,1,0,0,0,6,5,£5.6
Steven Pienaar,SUN,MID,15,0,0,802,1,5,0,0,0,0,2,£4.8
Stewart Downing,MID,MID,77,1,3,2214,0,1,0,0,0,3,7,£4.8
Stuart Taylor,SOU,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Sullay Kaikai,CRY,MID,1,0,0,24,0,0,0,0,0,0,0,£4.5
Sung-yueng Ki,SWA,MID,41,0,1,1291,0,3,0,0,0,0,4,£5
Sébastien Pocognoli,WBA,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Takuma Asano,ARS,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.9
Tendayi Darikwa,BUR,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.2
