Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS,£
Bacary Sagna,MCI,DEF,55,0,1,1346,0,2,0,0,0,3,6,£5.3
Bafétimbi Gomis,SWA,FWD,0,0,0,0,0,0,0,0,0,0,0,£6.5
Baily Cargill,BOU,DEF,1,0,0,13,0,0,0,0,0,0,0,£4
Bakary Sako,CRY,MID,7,0,0,142,0,0,0,0,0,0,0,£5.3
Bamidele Alli,TOT,MID,225,18,11,3036,0,4,0,0,0,17,17,£9.1
Bartosz Kapustka,LEI,MID,0,0,0,0,0,0,0,0,0,0,0,£5
Bastian Schweinsteiger,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,£5.1
Ben Davies,TOT,DEF,90,1,3,1739,0,1,0,0,0,5,8,£5
Ben Foster,WBA,GK,113,0,0,3420,0,2,115,0,0,4,6,£4.7
Ben Gibson,MID,DEF,121,1,1,3420,0,4,0,0,0,14,11,£4.9
Ben Hamer,LEI,GK,0,0,0,0,0,0,0,0,0,0,0,£4.3
Ben Hinchcliffe,HUL,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Ben Mee,BUR,DEF,94,1,2,3015,0,5,0,0,0,6,9,£4.4
Ben Watson,WAT,MID,1,0,0,54,1,0,0,0,0,0,0,£4.2
Ben Woodburn,LIV,MID,5,0,0,86,0,0,0,0,0,0,0,£4.3
Ben Wynter,CRY,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Benik Afobe,BOU,FWD,88,6,5,1458,0,1,0,0,1,9,5,£5.3
Benjamin Chilwell,LEI,DEF,19,1,0,699,0,2,0,0,0,0,1,£4.3
Bernardo Espinosa Zúñiga,MID,DEF,35,0,0,975,0,2,0,0,0,3,4,£4.2
Bertrand Traore,CHE,MID,0,0,0,0,0,0,0,0,0,0,0,£5.4
Billy Jones,SUN,DEF,56,1,0,2270,0,8,0,0,0,6,5,£4.4
Boaz Myhill,WBA,GK,0,0,0,0,0,0,0,0,0,0,0,£4.1
Bojan Krkic,STK,MID,30,3,0,475,0,1,0,0,1,4,0,£5.5
Borja Bastón,SWA,FWD,32,1,2,561,0,0,0,0,0,1,1,£6.6
Bradley Guzan,MID,GK,36,0,0,900,0,0,37,0,0,3,3,£4.2
Bradley Smith,BOU,DEF,4,0,0,269,0,1,0,0,0,0,0,£3.9
Brandon Mason,WAT,DEF,1,0,0,113,0,0,0,0,0,0,0,£3.9
Branislav Ivanovic,CHE,DEF,23,0,1,589,0,2,0,0,0,2,1,£5.6
Brendan Galloway,EVE,DEF,9,0,0,247,0,0,0,0,0,0,1,£4
Brian Lenihan,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,£3.9
Brice Dja Djédjé,WAT,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Bruno Martins Indi,STK,DEF,106,1,0,3146,0,4,0,0,0,9,11,£4.9
Bryan Oviedo,SUN,MID,29,0,0,1323,0,4,0,0,0,0,3,£4.2
Callum McManaman,WBA,MID,0,0,0,0,0,0,0,0,0,0,0,£4.3
Callum Wilson,BOU,FWD,63,6,1,1361,0,0,0,0,0,2,6,£6
Calum Chambers,MID,DEF,83,2,1,2250,0,4,0,0,0,7,7,£4.3
Cameron Borthwick-Jackson,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Cameron Brannagan,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,£4.2
Cameron Carter-Vickers,TOT,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.3
Carl Jenkinson,ARS,DEF,2,0,0,82,0,0,0,0,0,0,0,£4.8
Carl Stewart,WAT,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Carlos De Pena,MID,MID,0,0,0,0,0,0,0,0,0,0,0,£4.2
Cesc Fàbregas,CHE,MID,121,5,15,1340,0,8,0,0,0,14,4,£7
